Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
"Design, Engineering, Science and Transport Professionals nfd",0.1,0.1,0.0,12.2,,
Education Professionals,637.8,704.1,66.3,10.4,,
School Teachers,451.6,494.0,42.4,9.4,,
Early Childhood (Pre-primary School) Teachers,49.3,59.9,10.6,21.6,,
Primary School Teachers,149.6,157.3,7.7,5.1,,
Middle School Teachers,3.8,4.6,0.8,21.0,,
Secondary School Teachers,154.3,160.1,5.8,3.7,,
Special Education Teachers,30.2,34.3,4.1,13.5,,
School Teachers nfd,72.1,85.5,13.4,18.6,,
Tertiary Education Teachers,103.6,117.5,13.9,13.4,,
University Lecturers and Tutors,63.7,74.2,10.6,16.6,,
Vocational Education Teachers,37.3,40.6,3.3,8.7,,
Tertiary Education Teachers nfd,4.1,4.1,0.1,2.1,,
Miscellaneous Education Professionals,83.6,93.5,9.9,11.8,,
Education Advisers and Reviewers,31.5,34.7,3.2,10.1,,
Private Tutors and Teachers,49.1,55.8,6.7,13.6,,
Teachers of English to Speakers of Other Languages,2.1,2.1,0.0,-0.5,,
Miscellaneous Education Professionals nfd,0.5,0.5,0.0,9.2,,
Education Professionals nfd,4.7,4.8,0.1,2.1,,
Education Professionals nfd,4.7,4.8,0.1,2.1,,
Health Professionals,667.1,770.7,103.6,15.5,,
Health Diagnostic and Promotion Professionals,105.0,118.7,13.7,13.1,,
Nutrition Professionals,7.9,8.5,0.6,7.2,,
Medical Imaging Professionals,15.9,18.2,2.3,14.7,,
Occupational and Environmental Health Professionals,28.6,33.1,4.5,15.9,,
Optometrists and Orthoptists,9.9,11.4,1.5,15.1,,
Pharmacists,34.6,37.7,3.1,9.0,,
Other Health Diagnostic and Promotion Professionals,7.8,9.5,1.7,21.9,,
Health Diagnostic and Promotion Professionals nfd,0.1,0.1,0.0,13.1,,
Health Therapy Professionals,111.4,137.7,26.3,23.6,,
Chiropractors and Osteopaths,10.9,13.0,2.1,19.2,,
